#options: 1920x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1778 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:32 out:33 type:B dur:2 cpbdur:2 q:30.45 aq:31.99 tex:20403 mv:4290 misc:1107 imb:56 pmb:335 smb:7769 d:- ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:30.43 aq:26.12 tex:17995 mv:4394 misc:947 imb:43 pmb:300 smb:7817 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:30.06 aq:20.95 tex:65405 mv:5480 misc:3155 imb:205 pmb:794 smb:7161 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:30.27 aq:17.05 tex:76075 mv:4718 misc:1527 imb:198 pmb:429 smb:7533 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:30.17 aq:29.20 tex:8514 mv:2685 misc:1097 imb:23 pmb:319 smb:7818 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:30.11 aq:30.50 tex:3185 mv:2449 misc:1110 imb:16 pmb:305 smb:7839 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:30.22 aq:32.61 tex:3631 mv:2292 misc:685 imb:15 pmb:175 smb:7970 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:29.74 aq:20.51 tex:47558 mv:3114 misc:2504 imb:120 pmb:507 smb:7533 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:30.01 aq:22.43 tex:8298 mv:1381 misc:673 imb:29 pmb:114 smb:8017 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:30.14 aq:23.91 tex:5195 mv:1612 misc:657 imb:13 pmb:128 smb:8019 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:29.88 aq:32.80 tex:2708 mv:871 misc:533 imb:4 pmb:78 smb:8078 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:29.07 aq:20.27 tex:65368 mv:2638 misc:4106 imb:98 pmb:897 smb:7165 d:- ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:29.41 aq:30.18 tex:6621 mv:1559 misc:524 imb:14 pmb:101 smb:8045 d:- ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:29.57 aq:24.36 tex:4003 mv:1490 misc:507 imb:11 pmb:82 smb:8067 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:29.24 aq:24.52 tex:4970 mv:1941 misc:505 imb:8 pmb:101 smb:8051 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:28.17 aq:19.68 tex:105480 mv:3358 misc:5370 imb:65 pmb:1577 smb:6518 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:28.62 aq:28.78 tex:893 mv:450 misc:649 imb:2 pmb:74 smb:8084 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:28.85 aq:30.00 tex:7 mv:74 misc:543 imb:0 pmb:41 smb:8119 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:28.40 aq:31.48 tex:1978 mv:442 misc:460 imb:3 pmb:27 smb:8130 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:27.41 aq:18.65 tex:129638 mv:2764 misc:5566 imb:70 pmb:2067 smb:6023 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:27.16 aq:17.64 tex:75163 mv:2650 misc:4707 imb:96 pmb:1124 smb:6940 d:- ref:0 ;
in:57 out:54 type:P dur:2 cpbdur:2 q:26.88 aq:16.84 tex:67633 mv:2635 misc:3236 imb:128 pmb:623 smb:7409 d:- ref:0 ;
in:55 out:55 type:B dur:2 cpbdur:2 q:27.02 aq:28.28 tex:6214 mv:1391 misc:619 imb:6 pmb:113 smb:8041 d:- ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:27.09 aq:22.87 tex:2447 mv:1174 misc:587 imb:7 pmb:79 smb:8074 d:- ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:26.95 aq:27.83 tex:2706 mv:1249 misc:549 imb:5 pmb:88 smb:8067 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:25.99 aq:17.36 tex:125886 mv:2871 misc:5451 imb:58 pmb:1680 smb:6422 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:26.44 aq:21.50 tex:408 mv:469 misc:635 imb:0 pmb:62 smb:8098 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:26.66 aq:27.02 tex:1254 mv:1302 misc:532 imb:2 pmb:95 smb:8063 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:26.22 aq:28.36 tex:71 mv:114 misc:447 imb:0 pmb:14 smb:8146 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:25.27 aq:16.68 tex:112667 mv:1604 misc:5473 imb:44 pmb:1698 smb:6418 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:25.63 aq:23.53 tex:290 mv:240 misc:478 imb:0 pmb:16 smb:8144 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:25.81 aq:27.86 tex:174 mv:92 misc:414 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:25.45 aq:27.52 tex:66 mv:95 misc:407 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:24.63 aq:15.16 tex:120399 mv:2168 misc:5577 imb:116 pmb:1725 smb:6319 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:24.95 aq:19.50 tex:401 mv:216 misc:463 imb:0 pmb:14 smb:8146 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:25.11 aq:27.00 tex:106 mv:71 misc:407 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:24.79 aq:26.00 tex:135 mv:71 misc:402 imb:1 pmb:3 smb:8156 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:24.64 aq:15.84 tex:41598 mv:884 misc:3398 imb:9 pmb:704 smb:7447 d:- ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:24.63 aq:20.24 tex:212 mv:244 misc:480 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:24.63 aq:27.51 tex:121 mv:89 misc:406 imb:0 pmb:6 smb:8154 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:24.64 aq:19.51 tex:40 mv:60 misc:444 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:24.04 aq:15.53 tex:90408 mv:1270 misc:5138 imb:40 pmb:1406 smb:6714 d:- ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:24.34 aq:24.00 tex:0 mv:0 misc:408 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:24.49 aq:26.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:24.19 aq:26.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:23.55 aq:13.30 tex:84040 mv:2129 misc:5279 imb:141 pmb:1290 smb:6729 d:- ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:23.79 aq:21.74 tex:18 mv:4 misc:418 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:23.92 aq:26.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:23.67 aq:25.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:85 out:82 type:P dur:2 cpbdur:2 q:23.06 aq:14.56 tex:96757 mv:1274 misc:5121 imb:37 pmb:1399 smb:6724 d:- ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:23.31 aq:21.74 tex:19 mv:8 misc:421 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:23.43 aq:23.74 tex:17 mv:4 misc:395 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:23.18 aq:25.00 tex:1 mv:3 misc:396 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:22.39 aq:13.51 tex:127334 mv:1680 misc:5562 imb:76 pmb:1698 smb:6386 d:- ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:22.73 aq:16.45 tex:353 mv:83 misc:468 imb:3 pmb:7 smb:8150 d:- ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:22.89 aq:27.36 tex:120 mv:30 misc:402 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:22.56 aq:27.14 tex:155 mv:57 misc:404 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:21.88 aq:12.46 tex:117706 mv:1989 misc:5465 imb:99 pmb:1533 smb:6528 d:- ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:22.13 aq:23.35 tex:506 mv:104 misc:494 imb:1 pmb:15 smb:8144 d:- ref:0 ;
