"xtmp","power_x","power_x_l","power_x_u","power_x_cl","power_x_cu","precision_x","precision_x_l","precision_x_u","precision_x_cl","precision_x_cu","no_clusters_x","no_clusters_l","no_clusters_u","no_clusters_cl","no_clusters_cu"
28,0.919892699290649,0.950141296599548,0.830507969951923,0.912150038959894,0.92447105511365,18109.7755706864,20807.3604741992,13606.1822397244,17572.9835547084,18449.9931668014,1,1,1,1,1
29,0.926219313898585,0.955344772106061,0.837996576395214,0.918528720526898,0.930751180664938,18584.9211345082,21421.3702939724,13888.3521638067,18011.8627975043,18948.8759708274,1,1,1,1,1
30,0.931993191452196,0.959990498905405,0.8450264774987,0.924371612948304,0.936468743941202,19052.4519186598,22028.9691068403,14163.8289111195,18442.4048938206,19440.7541131091,1,1,1,1,1
31,0.937266426950973,0.964138976465741,0.851633252887993,0.929728570868422,0.941677210522832,19512.6040642851,22630.2967924007,14432.9264446578,18864.8738564663,19925.8532664506,1,1,1,1,1
32,0.942085960852521,0.967844210701942,0.857849186457981,0.934644483269083,0.946424774962931,19965.6029295165,23225.4876297792,14695.9372554175,19279.5214809263,20404.388929105,1,1,1,1,1
33,0.946494095170413,0.971154375366332,0.863703615063401,0.939159783734323,0.950754880521169,20411.6637743583,23814.6707012492,14953.1342285863,19686.5881334153,20876.5670606874,1,1,1,1,1
34,0.950528960728603,0.97411241596695,0.869223236623119,0.943310909605479,0.954706691399296,20850.9923848246,24397.9702515289,15204.7723154207,20086.303468917,21342.5846619699,1,1,1,1,1
35,0.95422493912261,0.976756598651434,0.874432382644644,0.947130714366409,0.958315520566569,21283.785643737,24975.5060089799,15451.090034339,20478.8870875862,21802.6303054534,1,1,1,1,1
36,0.957613043006846,0.979121007138957,0.879353259552455,0.950648837483009,0.961613216438206,21710.2320544214,25547.3934739186,15692.3108215047,20864.5491366065,22256.8846225106,1,1,1,1,1
37,0.960721258273585,0.981235991151463,0.884006162651568,0.953892035719998,0.964628511701059,22130.5122225931,26113.7441784103,15928.6442484255,21243.4908635593,22705.5207520044,1,1,1,1,1
38,0.963574851554259,0.983128569963834,0.888409666071574,0.956884479706076,0.967387337513771,22544.7993009504,26674.6659212331,16160.2871217652,21615.9051264885,23148.7047545568,1,1,1,1,1
39,0.966196646288501,0.984822794717484,0.892580791610144,0.959648019241192,0.969913106177214,22953.2594003567,27230.2629811391,16387.424478589,21981.976865144,23586.5959960506,1,1,1,1,1
40,0.968607270392329,0.986340073066554,0.896535159022665,0.962202420553515,0.972226965199398,23356.051970973,27780.6363110669,16610.2304885719,22341.8835372873,24019.3475034572,1,1,1,1,1
41,0.970825378329574,0.987699459582998,0.900287119980152,0.964565578430484,0.974348025484933,23753.3301562518,28325.8837155809,16828.8692732555,22695.7955234461,24447.1062956697,1,1,1,1,1
42,0.972867850160871,0.988917915160627,0.903849877635116,0.96675370587548,0.976293566174981,24145.2411223476,28866.1000134779,17043.4956511951,23043.8765030864,24870.0136916876,1,1,1,1,1
43,0.97474996991938,0.990010538446854,0.907235593489546,0.968781503683732,0.978079218458201,24531.9263651795,29401.377187243,17254.2558167673,23386.2838048154,25288.2055982024,1,1,1,1,1
44,0.97648558544672,0.990990772107262,0.910455483045893,0.970662312090797,0.979719130472486,24913.5219971235,29931.8045207946,17461.2879594875,23723.1687329215,25701.8127783987,1,1,1,1,1
45,0.978087251619243,0.991870586501977,0.913519901536463,0.972408246425373,0.981226115225022,25290.159015082,30457.4687267786,17664.7228298775,24054.6768723008,26110.9611035705,1,1,1,1,1
46,0.979566358705367,0.99266064313044,0.916438420865743,0.974030318495587,0.98261178327703,25661.9635514899,30978.4540644984,17864.6842572331,24380.9483735926,26515.7717889808,1,1,1,1,1
47,0.980933247419898,0.993370439987299,0.91921989876009,0.975538545253869,0.983886661770551,26029.0571096449,31494.8424494322,18061.2896240311,24702.1182201564,26916.3616152352,1,1,1,1,1
48,0.982197312081189,0.994008440769442,0.92187254099759,0.976942046119109,0.985060301218576,26391.5567846087,32006.7135551725,18254.6503011869,25018.3164783484,27312.8431363093,1,1,1,1,1
49,0.983367093131139,0.994582189684536,0.924403957484897,0.978249130185039,0.986141371336602,26749.5754707992,32514.144908515,18444.8720479081,25329.6685324129,27705.3248752563,1,1,1,1,1
50,0.984450360145898,0.995098413435617,0.92682121285565,0.979467374409375,0.987137747063051,27103.2220572836,33017.2119783432,18632.055379487,25636.295305175,28093.9115085173,1,1,1,1,1
